,R0000100,sampleid,race_x,sex_x,fam1,fam2,fam3,fam4,fam5,fam6,fam7,fam8,raceparent,sexparent,sociabilitypchild,sociabilitypadult,rosenbergscore87parent,rosenbergscore06parent,rotterscale14parent,riskaversionparent,riskinfinancialmattersparent,riskinoccupationparent,riskwithhealthparent,riskinmajorlifechangesparent,rotterscale16parent,rotterscale18parent,gradeattendedparent,gradecompletedparent,C0000100,C0000200,race_y,sex_y,dob,yadultid,jobdissatisfaction1,jobdissatisfaction2,jobdissatisfaction3,jobdissatisfaction4,jobdissatisfaction5,incomewages,incomewages1,incomebus,incomewagesafterexp,Y4562700,pearlin1,pearlin2,pearlin3,pearlin4,pearlin5,pearlin6,pearlin7,selfestm1,selfestm2,selfestm3,selfestm4,selfestm5,selfestm6,selfestm7,selfestm8,selfestm9,selfestm10,newexperience,cesd1,cesd2,cesd3,cesd4,cesd5,cesd6,cesd7,cesd8,cesd9,cesd10,cesd11,famatt1,famatt2,famatt3,famatt4,famatt5,famatt6,famatt7,famatt8,famatt9,famatt10,famatt11,famatt12,newexperiencecmplx,reasonsforexperience,age,Self-Esteem,Pearlin,Famattscore,famattmom,sex_2
23,97,5,3,2,4,3,1,2,2,3,4,1,3,2,3,3,22.0,22.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,9701,97,3,1,1987,9701,2,-7,-7,-7,-7,6000,-7,-7,-7,-7,2.0,3.0,2.0,4.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,3,2,3,3,3,3,2,2,3,3,3,-7,9,33,26.0,19.0,33,20,0
24,98,6,3,2,4,2,1,2,3,2,3,3,3,2,4,4,28.0,28.0,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,9801,98,3,1,1987,9801,2,1,-7,-7,-7,59000,-7,-7,-7,-7,2.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,3,2,3,3,3,3,2,3,3,4,2,-7,-7,33,25.0,17.0,34,20,0
25,98,6,3,2,4,2,1,2,3,2,3,3,3,2,4,4,28.0,28.0,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,9803,98,3,1,1994,9803,2,-7,-7,-7,-7,80000,-7,-7,-7,-7,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,3,3,3,4,3,3,3,2,4,4,3,4,-7,26,24.0,16.0,38,20,0
26,99,5,3,2,4,3,3,3,3,2,4,3,3,2,2,4,20.0,18.0,13,-4,-4,-4,-4,-4,-4,-4,-4,-4,9901,99,3,1,1987,9901,1,-7,-7,-7,-7,32000,-7,-7,-7,-7,1.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,1,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,3,2,3,3,3,4,3,2,3,4,3,-7,9,33,33.0,13.0,37,25,0
27,111,5,3,2,4,4,1,4,3,3,3,8,3,2,4,3,28.0,24.0,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,11101,111,3,2,1982,11101,2,-7,-7,-7,-7,44000,-7,-7,45000,9000,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,4,3,3,4,4,4,3,3,2,4,4,5,9,39,26.0,16.0,42,30,1
28,111,5,3,2,4,4,1,4,3,3,3,8,3,2,4,3,28.0,24.0,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,11103,111,3,1,1987,11103,2,-7,-7,-7,-7,30000,-7,-7,-7,-7,2.0,2.0,2.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,3.0,1.0,4.0,3.0,4.0,1,4,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,2,4,4,3,4,4,3,3,2,4,3,-7,-7,33,28.0,16.0,40,30,0
29,112,5,3,2,4,4,2,3,2,4,4,2,3,2,1,3,30.0,26.0,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,11201,112,3,1,1982,11201,1,1,-7,-7,-7,38000,-7,-7,-7,-7,2.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,3,2,3,3,2,3,3,2,3,4,3,4,9,38,25.0,16.0,35,25,0
30,112,5,3,2,4,4,2,3,2,4,4,2,3,2,1,3,30.0,26.0,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,11202,112,3,2,1997,11202,3,1,-7,-7,-7,20000,-7,-7,15000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2,3,1,0,1,0,1,1,2,0,0,1,0,4,4,1,4,2,4,4,4,3,3,4,4,-7,-7,23,24.0,16.0,41,25,1
32,144,5,3,2,3,3,2,3,2,3,3,3,3,2,1,3,22.0,23.0,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,14402,144,3,2,1994,14402,1,4,-7,-7,-7,19000,-7,-7,-7,-7,1.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,3.0,1.0,3.0,1,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,4,4,4,3,4,4,4,4,2,4,4,3,-7,26,27.0,16.0,45,22,1
33,144,5,3,2,3,3,2,3,2,3,3,3,3,2,1,3,22.0,23.0,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,14403,144,3,2,1997,14403,2,-7,-7,-7,-7,52000,-7,-7,-7,-7,1.0,1.0,1.0,4.0,3.0,4.0,2.0,3.0,3.0,1.0,3.0,4.0,3.0,3.0,2.0,3.0,2,4,0,0,2,0,0,0,2,3,1,0,0,4,4,1,4,3,4,4,3,2,2,4,3,-7,-7,23,25.0,16.0,38,22,1
34,147,5,3,2,3,3,2,3,3,3,3,3,3,2,2,3,30.0,19.0,7,-4,-4,-4,-4,-4,-4,-4,-5,-5,14701,147,3,2,1987,14701,1,-7,-7,-7,-7,104000,-7,-7,130000,-7,1.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,2,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,3,3,3,3,3,3,3,3,2,3,3,-7,-7,33,26.0,13.0,35,23,1
35,153,5,3,2,4,4,2,3,4,3,4,3,3,2,2,3,21.0,13.0,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,15302,153,3,2,1986,15302,2,-7,-7,-7,-7,23000,-7,-7,-7,-7,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,3,2,3,3,3,3,2,2,2,3,3,-7,9,35,26.0,17.0,32,27,1
38,161,5,3,2,1,1,2,3,2,1,4,1,3,2,2,3,23.0,20.0,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,16101,161,3,1,1994,16101,2,3,2,2,-7,55000,-7,-7,20000,-7,2.0,2.0,1.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,2,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,3,3,3,3,3,4,3,3,3,4,3,4,10,26,25.0,16.0,39,15,0
39,161,5,3,2,1,1,2,3,2,1,4,1,3,2,2,3,23.0,20.0,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,16102,161,3,2,1996,16102,1,1,4,-7,-7,40000,-7,-7,-7,-7,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2,3,2,0,0,0,0,3,3,0,0,1,0,3,3,3,2,3,3,3,3,2,3,4,4,-7,9,23,26.0,18.0,36,15,1
40,190,5,3,2,4,4,2,4,3,4,4,4,3,2,3,3,30.0,28.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,19001,190,3,2,1995,19001,2,-7,-7,-7,-7,30000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,1.0,4.0,4.0,4.0,2.0,4.0,4.0,1,4,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,4,2,3,3,4,4,3,3,4,4,3,7,-7,25,31.0,16.0,41,29,1
41,200,5,3,2,3,3,3,2,3,2,3,2,3,2,2,2,19.0,28.0,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,20001,200,3,2,1983,20001,2,-7,-7,-7,-7,100000,-7,-7,225974,-7,1.0,2.0,2.0,3.0,1.0,4.0,1.0,3.0,3.0,1.0,3.0,4.0,3.0,3.0,4.0,4.0,1,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,2,2,4,4,4,4,3,4,3,4,2,6,2,37,28.0,14.0,40,21,1
42,200,5,3,2,3,3,3,2,3,2,3,2,3,2,2,2,19.0,28.0,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,20002,200,3,2,1987,20002,2,1,-7,-7,-7,15000,-7,-7,-7,-7,2.0,2.0,3.0,4.0,2.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,1,4,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,3,2,3,4,3,4,3,3,2,4,4,-7,9,32,32.0,18.0,38,21,1
43,205,8,1,2,4,4,3,4,3,8,4,2,1,2,2,3,19.0,27.0,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,20503,205,1,1,1986,20503,1,4,-7,-7,-7,0,-7,-7,-1,-7,2.0,1.0,1.0,4.0,1.0,3.0,2.0,3.0,3.0,1.0,4.0,4.0,4.0,3.0,2.0,4.0,1,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,3,2,3,4,3,3,3,3,3,4,2,-7,9,34,28.0,14.0,36,32,0
44,211,5,3,2,4,1,2,2,2,3,3,2,3,2,4,4,26.0,28.0,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,21101,211,3,2,1996,21101,1,-7,-7,-7,-7,50000,-7,-7,0,-7,1.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,1,4,0,0,0,0,0,0,3,0,0,0,0,3,3,2,3,3,3,3,3,3,3,3,3,-7,-7,24,33.0,13.0,35,19,1
45,211,5,3,2,4,1,2,2,2,3,3,2,3,2,4,4,26.0,28.0,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,21102,211,3,1,1997,21102,1,1,-7,-7,-7,30000,-7,-7,-7,-7,1.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,1,4,0,0,0,0,0,0,3,0,0,0,0,4,4,1,4,1,4,3,4,1,3,3,2,-7,-7,23,33.0,13.0,34,19,0
46,211,5,3,2,4,1,2,2,2,3,3,2,3,2,4,4,26.0,28.0,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,21104,211,3,1,2003,21104,2,-7,-7,-7,-7,500,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2,3,0,0,0,0,0,1,3,0,0,1,0,3,3,2,3,3,3,3,3,2,2,3,3,-7,-7,17,27.0,17.0,33,19,0
47,221,7,2,2,3,3,2,3,2,4,3,4,2,2,4,2,13.0,29.0,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,22102,221,2,1,1987,22102,1,-7,-7,-7,-7,28752,-7,-7,-7,-7,3.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,2,3,2,3,2,3,2,4,1,3,3,-7,4,33,23.0,18.0,31,24,0
48,227,7,2,2,4,3,4,4,4,4,4,4,2,2,2,3,20.0,20.0,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,22704,227,2,1,1994,22704,2,-7,-7,-7,-7,0,-7,4000,-7,-7,2.0,2.0,2.0,4.0,1.0,4.0,3.0,4.0,4.0,1.0,4.0,2.0,3.0,4.0,4.0,3.0,2,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,3,2,2,2,2,2,3,2,1,3,5,-7,26,29.0,18.0,26,31,0
49,240,6,3,2,3,2,2,3,2,3,4,3,3,2,2,3,28.0,25.0,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,24002,240,3,2,1986,24002,2,-7,-7,-7,-7,52000,-7,-7,48000,-7,1.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,1,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,3,2,3,3,3,4,3,3,2,4,3,-7,9,34,27.0,13.0,37,22,1
